phrase,value
"'estonia',",ORG
"'sots',",ORG
"'eesti','päevaleht'",ORG
"'bns',",ORG
"'isamaaliit',",ORG
"'äripäev',",ORG
"'etv',",ORG
"'kreml',",ORG
"'err',",ORG
"'kadriorg',",ORG
"'eesti','post'",ORG
"'el',",ORG
"'kaitseministeerium',",ORG
"'tallinn','tehnikaülikool'",ORG
"'maksuamet',",ORG
"'päevaleht',",ORG
"'euroopa','liidu'",ORG
"'nordika',",ORG
"'eesti','raudtee'",ORG
"'haigekassa',",ORG
"'it',",ORG
"'ekspress',",ORG
"'rahvusringhääling',",ORG
"'pbk',",ORG
"'tallinn','televisioon'",ORG
"'interpol',",ORG
"'new','york','times'",ORG
"'riik','kinnisvara','aktsiaselts'",ORG
"'kuku','raadio'",ORG
"'piirivalveamet',",ORG
"'kultuuriministeerium',",ORG
"'rahvaliit',",ORG
"'vabariik','valitsus'",ORG
"'maanteeamet',",ORG
"'eesti','televisioon'",ORG
"'eesti','olümpiakomitee'",ORG
"'oü',",ORG
"'swedpank',",ORG
"'keskpäevatund','tallinn'",ORG
"'terviseamet',",ORG
"'välisministeerium',",ORG
"'a',",ORG
"'tallinn','linnavolikogu'",ORG
"'politsei',",ORG
"'tartu','ülikool','kliinikum'",ORG
"'tehnikaülikool',",ORG
"'sotsiaalministeerium',",ORG
"'kaitsepolitsei',",ORG
"'lhv',",ORG
"'euroopa','keskpank'",ORG
"'harju','maakohus'",ORG
"'eka',",ORG
"'bbc',",ORG
"'rmk',",ORG
"'seb',",ORG
"'tallinn','tv'",ORG
"'rahvas','muuseum'",ORG
"'tns','emor'",ORG
"'mtü',",ORG
"'skp',",ORG
"'riik','kinnisvara'",ORG
"'as',",ORG
"'tv',",ORG
"'sotsiaaldemokraatlik','erakond'",ORG
"'res','publica','liit'",ORG
"'sms',",ORG
"'erm',",ORG
"'vikerraadio',",ORG
"'veb',",ORG
"'eesti','parlament'",ORG
"'edelaraudtee',",ORG
"'hansapank',",ORG
"'üro','julgeolekunõukogu'",ORG
"'esm',",ORG
"'sisekaitseakadeemia',",ORG
"'vabadus',",ORG
"'tv3',",ORG
"'veb','fond'",ORG
"'g',",ORG
"'cnn',",ORG
"'ppa',",ORG
"'ak',",ORG
